id,title,year,status,genres,chapters,popularity,score,mean_score,description
105398,Solo Leveling,2018.0,FINISHED,"Action, Adventure, Fantasy",201.0,265076,84.0,84,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers.    (Source: Tappytoon)    Note: Includes 22 extra chapters."
119257,Omniscient Reader,2020.0,RELEASING,"Action, Adventure, Fantasy",,117235,86.0,86,"Back then, Dok-Ja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dok-Ja will go on a journey to change the course of the story and save humankind once and for all.    (Source: WEBTOON, edited)"
85143,Tower of God,2010.0,RELEASING,"Action, Adventure, Drama, Fantasy, Mystery",,94166,81.0,82,What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desire—it's here.   (Source: WEBTOON)
86964,Bastard,2014.0,FINISHED,"Drama, Horror, Mystery, Psychological, Romance, Thriller",94.0,72159,83.0,83,"High school life is hard enough, but it’s even harder for Seon Jin. A sickly disabled boy, Jin might as well be invisible. No one ever pays attention to him, except for the bullies who prey on him for being weak. Jin, however, keeps a very dark secret—there’s a serial killer in his house…and it’s his father!    (Source: Seven Seas Entertainment)    Note: Includes one extra chapter."
100568,The Horizon,2016.0,FINISHED,"Adventure, Drama, Psychological",21.0,59288,85.0,85,"A world where everything has been lost. A boy and a girl alone together. A spark of hope kindled between them. All they can do is move forward. But against broken adults and devastating despair, how long will they be able to keep going...?    (Source: Yen Press)"
128067,SSS-Class Revival Hunter,2020.0,RELEASING,"Action, Adventure, Drama, Fantasy, Supernatural",,58500,83.0,83,"In the mysterious, RPG dungeon-like Tower, Confucius Kim lives a mundane existence, envying all the star hunters. One day, his wish for more is granted with a legendary skill to copy others’ abilities… at the cost of his life. Before he can make sense of it, he’s killed by the #1 hunter, the Flame Emperor! But this activates his skill and now he’s copied a new one, the ability to travel back in time upon death. How will Confucius use these skills to outplay the competition and rise to the top?    (Source: Tapas)"
140407,The Greatest Estate Developer,2021.0,FINISHED,"Adventure, Comedy, Fantasy",222.0,52614,89.0,89,"When civil engineering student Su-Ho Kim falls asleep reading a fantasy novel, he wakes up as a character in the book! Su-Ho is now in the body of Lloyd Frontera, a lazy noble who loves to drink, and whose family is in a mountain of debt. Using his engineering knowledge, Su-Ho designs inventions to avert the terrible future that lies in wait for him. With the help of a giant hamster, a knight, and the world’s magic, can Su-Ho dig his new family out of debt and build a better future?   (Source: WEBTOON, edited)   Note: includes 12 extra chapters."
100954,Sweet Home,2017.0,FINISHED,"Drama, Horror, Psychological, Supernatural, Thriller",141.0,51581,81.0,82,"After an unexpected family tragedy, a reclusive high school student is forced to leave his home -- only to face something much scarier: a reality where monsters are trying to wipe out humanity. Now he must fight alongside a handful of reluctant heroes to try and save the world before it’s too late.   (Source: WEBTOON)   Note: Includes one extra chapter."
126297,Teenage Mercenary,2020.0,RELEASING,"Action, Drama",,51505,79.0,80,"At the age of eight, I-Jin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But I-Jin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, I-Jin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?    (Source: WEBTOON)"
85141,The God of High School,2011.0,FINISHED,"Action, Adventure, Fantasy",569.0,51233,76.0,76,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?    (Source: WEBTOON)"
